步骤,日期,月份,真实TQI,预测
1,01-02,1,2.4,2.9431470588235293
2,01-09,1,2.4,2.9431470588235293
3,01-18,1,2.4,2.9431470588235293
4,01-25,1,2.6,2.9431470588235293
5,02-04,2,2.3,2.9178383838383835
6,02-20,2,2.1500000000000004,2.9178383838383835
7,02-25,2,2.4,2.9178383838383835
8,03-10,3,2.4,2.9795614035087716
9,03-18,3,2.0,2.9795614035087716
10,03-25,3,2.2,2.9795614035087716
11,04-10,4,2.0,3.286842857142857
12,04-18,4,2.0,3.286842857142857
13,04-25,4,2.0,3.286842857142857
14,05-10,5,2.1,3.272444444444444
15,05-20,5,2.0,3.272444444444444
16,06-07,6,2.0,3.4456428571428575
17,06-20,6,2.1,3.4456428571428575
18,07-07,7,2.2,2.153333333333194
19,07-20,7,2.2,2.153333333333194
20,08-07,8,2.4,2.153333333333194
21,08-20,8,2.1,2.153333333333194
22,09-05,9,2.2,2.153333333333194
23,09-19,9,2.2,2.153333333333194
24,10-09,10,2.4,2.864074074074074
25,10-23,10,2.2,2.864074074074074
26,11-09,11,2.5,2.7416388888888887
27,11-17,11,2.0,2.7416388888888887
28,11-24,11,2.5,2.7416388888888887
29,12-03,12,2.2,2.847201550387597
30,12-10,12,2.4,2.847201550387597
31,12-18,12,2.3,2.847201550387597
32,12-25,12,2.6,2.847201550387597
33,01-11,1,2.4,2.9431470588235293
34,01-22,1,2.35,2.9431470588235293
35,02-02,2,2.2,2.9178383838383835
36,02-09,2,2.4,2.9178383838383835
37,02-23,2,2.2,2.9178383838383835
38,03-03,3,2.2,2.9795614035087716
39,03-10,3,2.6,2.9795614035087716
40,03-18,3,2.1,2.9795614035087716
41,04-03,4,2.2,3.286842857142857
42,04-10,4,2.2,3.286842857142857
43,04-25,4,2.0,3.286842857142857
44,05-06,5,2.0,3.272444444444444
45,06-05,6,2.1,3.4456428571428575
46,06-20,6,1.9,3.4456428571428575
47,07-06,7,1.9,2.153333333333194
48,07-19,7,1.9,2.153333333333194
49,08-04,8,2.0,2.153333333333194
50,08-20,8,2.0,2.153333333333194
51,09-04,9,2.1,2.153333333333194
52,09-20,9,2.0,2.153333333333194
53,10-10,10,2.0,2.864074074074074
54,10-23,10,2.2,2.864074074074074
55,11-03,11,2.2,2.7416388888888887
56,11-10,11,2.1,2.7416388888888887
57,11-18,11,2.0,2.7416388888888887
58,11-25,11,2.1,2.7416388888888887
59,12-03,12,1.9,2.847201550387597
60,12-10,12,2.2,2.847201550387597
61,12-27,12,2.0,2.847201550387597
62,01-09,1,2.1500000000000004,2.9431470588235293
63,01-18,1,2.0,2.9431470588235293
64,01-26,1,2.2,2.9431470588235293
65,02-02,2,2.3,2.9178383838383835
66,02-26,2,2.3,2.9178383838383835
67,03-05,3,2.0,2.9795614035087716
68,03-19,3,1.9,2.9795614035087716
